#Frame 	 Voronoi density(m^(-2))		Voronoi velocity(m/s)
659	2.676	0.675
660	2.644	0.657
661	2.606	0.653
662	2.567	0.659
663	2.525	0.673
664	2.496	0.647
665	2.473	0.642
666	2.460	0.642
667	2.451	0.646
668	2.441	0.654
669	2.444	0.661
670	2.452	0.664
671	2.466	0.665
672	2.492	0.665
673	2.506	0.670
674	2.518	0.679
675	2.520	0.687
676	2.520	0.695
677	2.516	0.701
678	2.508	0.707
679	2.492	0.711
680	2.476	0.715
681	2.451	0.719
682	2.417	0.704
683	2.411	0.682
684	2.403	0.673
685	2.388	0.674
686	2.380	0.689
